content_length,httpResponseStatus,start_time,depth_level,ImgCount,destIP,tagType,LinkCount,index,EmbededCount,url,ScriptCount,end_time,ASN_Number,newcookies,CNAMEChain
69494,200,10:57:40.188177,1,,185.45.5.43;185.45.5.32,A,,8,,https://twitter.com/?lang=no,,10:57:44.751218,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJt%252F4mxOAToMY3NyZl9p%250AZCIlOGE4ZTRiZGNlZjJkOWEyZjliMzE3N2E1NjBhNDU3MWI6B2lkIiUzZGEz%250ANjIwM2FiMDI4N2E4MmFlOTIwNjVjZjgyZmY1OA%253D%253D--de9769fa80bdf1013093882c51276218091f11a6;lang=no;guest_id=v1%3A143634585999498882,twitter.com.
70020,200,10:57:44.904217,1,,185.45.5.32;185.45.5.43,A,,8,,https://twitter.com/?lang=pl,,10:57:49.361131,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJ1%252F4mxOAToMY3NyZl9p%250AZCIlNjhiM2ViODUxZTgzMWRkZGY2MjBkZTM0YjI4ZmE0Njk6B2lkIiVlMDgw%250AMDE5YWNlOWViNmZkZGE2YzhjNjA0NDE3YmFiOA%253D%253D--f8a25358aa687627ce56764a227ecace74bd5fd4;lang=pl;guest_id=v1%3A143634585999725205,twitter.com.
69595,200,10:57:49.468584,1,,185.45.5.43;185.45.5.32,A,,8,,https://twitter.com/?lang=pt,,10:57:53.848950,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJR%252F4mxOAToMY3NyZl9p%250AZCIlMDFmYTRjZmQzNWYxMmMxYmNiMTFjZmQ2Y2I3MmRiODI6B2lkIiU4ZGYy%250AMWJiM2QxYjI1M2M3ZWE2YTUzODYyNzFiNzY3MQ%253D%253D--4cf0ad9a896be025ea32e60fa543af646b676d83;lang=pt;guest_id=v1%3A143634585998809031,twitter.com.
70408,200,10:57:53.952000,1,,185.45.5.32;185.45.5.43,A,,8,,https://twitter.com/?lang=hu,,10:57:58.854635,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJt%252F4mxOAToMY3NyZl9p%250AZCIlOGU5ZGZhNTJiNmRiN2Q3YzY4ZjBiMjJkN2I5NzU0Nzc6B2lkIiVmNTAy%250AYTJlZmZkM2M4ZjNlOWRjODNmOWIwODE1YmVlNQ%253D%253D--d738fd60a3323fd7a256f30a503dac34170a7dcd;lang=hu;guest_id=v1%3A143634585999510082,twitter.com.
69821,200,10:57:58.970845,1,,185.45.5.43;185.45.5.32,A,,8,,https://twitter.com/?lang=nl,,10:58:02.549182,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJqB4mxOAToMY3NyZl9p%250AZCIlN2YwMWYzNDUxMjRmZWQyN2U2N2U4ZjIyODBjY2ZmODQ6B2lkIiU2OWEx%250AMjMwNzEyNDczM2YyY2E0MWZjMTc0OTA5YjljOA%253D%253D--d6a46db8ef77c1e530320b1041b059fa5b57b1ae;lang=nl;guest_id=v1%3A143634586050571814,twitter.com.
70134,200,10:58:02.650132,1,,185.45.5.32;185.45.5.43,A,,8,,https://twitter.com/?lang=ro,,10:58:05.816090,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCEGC4mxOAToMY3NyZl9p%250AZCIlZTQzOTc4ZGRjZTBhYjQyN2VmYmM2NWY5NTA4ODczNjg6B2lkIiUyMDRm%250AMTc3MzI1OTA4NTlhMmZmM2NlNTIzYzk0NTQ2Zg%253D%253D--4db548c7eea744f6c9fb013185a4b72873282ea3;lang=ro;guest_id=v1%3A143634586067137663,twitter.com.
69118,200,10:58:05.926487,1,,185.45.5.43;185.45.5.32,A,,8,,https://twitter.com/?lang=kn,,10:58:09.347623,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCJSF4mxOAToMY3NyZl9p%250AZCIlOGIwODQ5MGRhZTk1MTNlMTg1YzEzMjFmZDVjMzc1MGI6B2lkIiVjM2M2%250AZDA4YzcxYzllMTJmMzYxYjMyM2M4MjRlNTQ4Yw%253D%253D--b124f538356298ec1dcd398d9edf289bf1b76183;guest_id=v1%3A143634586152361089,twitter.com.
70162,200,10:58:09.579178,1,,185.45.5.32;185.45.5.43,A,,8,,https://twitter.com/?lang=fr,,10:58:14.228512,13414,_twitter_sess=BAh7CSIKZmxhc2hJQzonQWN0aW9uQ29udHJvbGxlcjo6Rmxhc2g6OkZsYXNo%250ASGFzaHsABjoKQHVzZWR7ADoPY3JlYXRlZF9hdGwrCPOS4mxOAToMY3NyZl9p%250AZCIlODY0MjcwN2Y2YTkwMWQ5ZDU1MDZiZjFhMDczNDlkMDQ6B2lkIiVlYWM1%250AYzU5YWI5YjkzOGVkNjAwMzFlZjhlMmIzZTA4ZA%253D%253D--fd0ba379c3322c0fba32ad1ab2f2cc48daa353eb;lang=fr;guest_id=v1%3A143634586494643599,twitter.com.
18912,200,10:58:30.682812,0,,-,A,,3669,,http://xhamster.com/user/video,,10:58:31.916999,-,uuid=13ED0F77-E3BB-49DA-8326-53B4FCD4D192;visit_host=bookmark;stats=51;stats_id=894420;mdg:uid=862%3Aa5%3A1;first_visit=1436345910,-
18912,200,10:58:34.791259,1,,-,L,,3669,,http://xhamster.com/user/video,,10:58:35.713266,-,uuid=A96659D2-4115-4EA6-BE3E-3EA6AED5DF00;stats=11;stats_id=45952;mdg:uid=829%3Aa5%3A1;first_visit=1436345914,-
